,Optimal Height,Optimal Value,Scenario
752,[14. 14. 14. 14. 14. 14. 14.],20508587283.80865,2
753,[14. 14. 14. 14. 14. 14. 14.],17041607827.342813,2
754,[13. 13. 13. 13. 13. 13. 13.],14162945345.798376,2
755,[15. 15. 15. 15. 15. 15. 15.],21420545032.743484,2
756,[14. 14. 14. 14. 14. 14. 14.],17467869346.02933,2
757,[13. 13. 13. 13. 13. 13. 13.],16218861284.177813,2
758,[13. 13. 13. 13. 13. 13. 13.],16628415403.28509,2
759,[14. 14. 14. 14. 14. 14. 14.],21429077406.41676,2
760,[14. 14. 14. 14. 14. 14. 14.],18771802738.09725,2
761,[14. 14. 14. 14. 14. 14. 14.],20072396858.14688,2
762,[13. 13. 13. 13. 13. 13. 13.],13344838379.556156,2
763,[15. 15. 15. 15. 15. 15. 15.],22856606572.7979,2
764,[15. 15. 15. 15. 15. 15. 15.],22375316111.751125,2
765,[12. 12. 12. 12. 12. 12. 12.],9697460087.166498,2
766,[13. 13. 13. 13. 13. 13. 13.],16629470719.243547,2
767,[11. 11. 11. 11. 11. 11. 11.],7283358561.496776,2
768,[14. 14. 14. 14. 14. 14. 14.],17052326473.614075,2
769,[12. 12. 12. 12. 12. 12. 12.],12938366448.153982,2
770,[13. 13. 13. 13. 13. 13. 13.],15394327393.745014,2
771,[14. 14. 14. 14. 14. 14. 14.],19198364609.702038,2
772,[15. 15. 15. 15. 15. 15. 15.],21421135875.369095,2
773,[14. 14. 14. 14. 14. 14. 14.],20967867672.412933,2
774,[12. 12. 12. 12. 12. 12. 12.],10504742046.409075,2
775,[11. 11. 11. 11. 11. 11. 11.],8485948770.843895,2
776,[14. 14. 14. 14. 14. 14. 14.],17912002499.604652,2
777,[13. 13. 13. 13. 13. 13. 13.],13742691171.841387,2
778,[13. 13. 13. 13. 13. 13. 13.],14161449981.542166,2
779,[13. 13. 13. 13. 13. 13. 13.],14983109374.030561,2
780,[13. 13. 13. 13. 13. 13. 13.],13342875690.06875,2
781,[13. 13. 13. 13. 13. 13. 13.],16628374444.09339,2
782,[13. 13. 13. 13. 13. 13. 13.],16224518559.694529,2
783,[14. 14. 14. 14. 14. 14. 14.],19198574109.782867,2
784,[15. 15. 15. 15. 15. 15. 15.],22383363188.195133,2
785,[12. 12. 12. 12. 12. 12. 12.],12113364815.499115,2
786,[13. 13. 13. 13. 13. 13. 13.],13743697323.017685,2
787,[14. 14. 14. 14. 14. 14. 14.],19195362921.119873,2
788,[14. 14. 14. 14. 14. 14. 14.],17479998616.763073,2
789,[12. 12. 12. 12. 12. 12. 12.],12116502090.79841,2
790,[13. 13. 13. 13. 13. 13. 13.],17054716519.489857,2
791,[14. 14. 14. 14. 14. 14. 14.],17043480978.126024,2
792,[13. 13. 13. 13. 13. 13. 13.],13757562157.65999,2
793,[12. 12. 12. 12. 12. 12. 12.],12535146896.829609,2
794,[12. 12. 12. 12. 12. 12. 12.],10094535989.979006,2
795,[14. 14. 14. 14. 14. 14. 14.],19196743840.20071,2
796,[14. 14. 14. 14. 14. 14. 14.],20079006924.347637,2
797,[13. 13. 13. 13. 13. 13. 13.],14159743733.389263,2
798,[14. 14. 14. 14. 14. 14. 14.],19646771641.161705,2
799,[14. 14. 14. 14. 14. 14. 14.],20083617542.33431,2
800,[15. 15. 15. 15. 15. 15. 15.],21891102414.727943,2
801,[15. 15. 15. 15. 15. 15. 15.],22372030719.28441,2
802,[14. 14. 14. 14. 14. 14. 14.],18343885977.350643,2
803,[15. 15. 15. 15. 15. 15. 15.],22869572667.208763,2
804,[13. 13. 13. 13. 13. 13. 13.],14165663972.213245,2
805,[14. 14. 14. 14. 14. 14. 14.],20517619680.236076,2
806,[14. 14. 14. 14. 14. 14. 14.],17479749213.240425,2
807,[13. 13. 13. 13. 13. 13. 13.],16212397371.071703,2
808,[13. 13. 13. 13. 13. 13. 13.],14158304357.33811,2
809,[13. 13. 13. 13. 13. 13. 13.],16630574181.737255,2
810,[13. 13. 13. 13. 13. 13. 13.],14562754365.52215,2
