,Optimal Height,Optimal Value,Scenario
92,[11. 13. 14. 14. 14. 20. 20.],6064706420.527317,1
93,[ 8. 11. 12. 12. 22. 22. 22.],2434901154.318977,1
94,[10. 13. 13. 17. 25. 25. 25.],6555054980.859687,1
95,[10. 11. 12. 14. 22. 22. 22.],6208772262.449517,1
96,[13. 14. 14. 14. 14. 22. 27.],15812226098.149979,1
97,[12. 12. 16. 18. 18. 18. 22.],10957501788.596478,1
98,[10. 11. 17. 17. 17. 19. 22.],3187721360.6371183,1
99,[12. 13. 13. 13. 19. 19. 19.],12464816697.762123,1
100,[11. 12. 13. 13. 13. 16. 21.],9055768780.14675,1
101,[12. 13. 15. 15. 15. 15. 20.],10899379753.776188,1
102,[11. 13. 14. 14. 17. 17. 17.],8681794654.219242,1
103,[11. 11. 14. 14. 21. 21. 21.],7702065420.570127,1
104,[12. 14. 14. 14. 15. 16. 16.],9360520942.977093,1
105,[13. 13. 14. 17. 17. 17. 22.],16073231146.60525,1
106,[12. 14. 14. 14. 20. 20. 20.],9551475973.51229,1
107,[11. 11. 17. 17. 19. 19. 20.],9353656577.237452,1
108,[11. 16. 16. 19. 20. 20. 20.],8612524600.532259,1
109,[11. 13. 15. 15. 21. 21. 21.],7224609402.634805,1
110,[ 9. 11. 14. 20. 20. 20. 20.],2269764355.128026,1
111,[13. 13. 13. 13. 18. 18. 18.],13581408367.422438,1
112,[11. 14. 14. 16. 18. 18. 18.],6324001658.664657,1
113,[11. 11. 14. 20. 20. 20. 22.],9263604654.202492,1
114,[10. 14. 14. 15. 18. 18. 19.],4032158883.2716045,1
115,[12. 13. 14. 15. 15. 17. 19.],9376699829.169603,1
116,[11. 11. 12. 15. 17. 17. 23.],7055608495.831356,1
117,[ 9. 16. 16. 16. 16. 16. 16.],845236633.5240883,1
118,[11. 13. 13. 14. 14. 15. 16.],5938283559.500436,1
119,[10. 10. 14. 16. 16. 17. 18.],4025271275.6508393,1
120,[10. 14. 15. 15. 16. 20. 21.],5706896535.98161,1
121,[10. 12. 14. 17. 17. 21. 21.],3662220949.1299276,1
122,[ 7. 12. 12. 15. 15. 20. 20.],-6576027377.979199,1
123,[10. 12. 14. 14. 20. 20. 20.],5158798275.634147,1
124,[13. 13. 14. 18. 18. 19. 19.],13135160279.967125,1
125,[12. 14. 14. 14. 14. 14. 18.],10136463543.908619,1
126,[10. 14. 16. 16. 18. 18. 19.],3761219856.1033287,1
