,Optimal Height,Optimal Value,Scenario
93,[16. 16. 16. 16. 30. 30. 30.],8839357361.842085,1
94,[18. 18. 18. 18. 34. 34. 34.],19515640410.538765,1
95,[18. 18. 18. 18. 30. 30. 30.],18621694386.83411,1
96,[21. 21. 21. 22. 22. 22. 22.],35289237501.052895,1
97,[20. 20. 20. 26. 26. 26. 26.],29459973530.550617,1
98,[18. 18. 18. 18. 23. 23. 23.],15978228121.804602,1
99,[20. 20. 20. 20. 27. 27. 27.],31911479339.434933,1
100,[20. 20. 20. 21. 21. 21. 21.],26319020214.840794,1
101,[20. 20. 20. 20. 20. 20. 20.],29379634590.02881,1
102,[19. 19. 19. 19. 25. 25. 25.],25755440984.77658,1
103,[19. 19. 19. 19. 29. 29. 29.],23595367958.594288,1
104,[20. 20. 20. 20. 20. 20. 20.],26926430264.89664,1
105,[22. 22. 22. 25. 25. 25. 25.],38175960381.12851,1
106,[20. 20. 20. 20. 28. 28. 28.],27005794984.44972,1
107,[20. 20. 20. 20. 27. 27. 27.],26392911787.53497,1
108,[19. 19. 19. 19. 28. 28. 28.],25284962257.90457,1
109,[19. 19. 19. 19. 30. 30. 30.],23041040310.092033,1
110,[18. 18. 18. 28. 28. 28. 28.],14537310284.538486,1
111,[21. 21. 21. 21. 21. 21. 21.],33916634243.561237,1
112,[19. 19. 19. 19. 26. 26. 26.],21729985560.338055,1
113,[20. 20. 20. 28. 28. 28. 28.],26468955531.104916,1
114,[18. 18. 18. 18. 26. 26. 26.],17767436438.37939,1
115,[20. 20. 20. 23. 23. 23. 23.],26954488148.431454,1
116,[19. 19. 19. 19. 25. 25. 25.],22853946430.987896,1
117,[17. 17. 17. 17. 24. 24. 24.],11524188518.12992,1
118,[19. 19. 19. 19. 22. 22. 22.],21080502352.635014,1
119,[18. 18. 18. 18. 24. 24. 24.],17709283296.981693,1
120,[19. 19. 19. 19. 24. 24. 24.],20523660517.106,1
121,[18. 18. 18. 18. 25. 25. 25.],17165821726.501705,1
122,[14. 14. 14. 14. 14. 26. 26.],-648813778.298055,1
123,[18. 18. 18. 18. 28. 28. 28.],19592878718.162193,1
124,[21. 21. 21. 26. 26. 26. 26.],33278301576.802494,1
125,[20. 20. 20. 22. 22. 22. 22.],28148564745.564648,1
126,[18. 18. 18. 18. 26. 26. 26.],17195337079.394054,1
127,[19. 19. 19. 23. 23. 23. 23.],24578574584.84274,1
128,[21. 21. 21. 23. 23. 23. 23.],33922049713.195454,1
129,[19. 19. 19. 19. 21. 21. 29.],25998791079.923664,1
130,[18. 18. 18. 18. 18. 18. 26.],19636453879.926643,1
131,[20. 20. 20. 20. 29. 29. 29.],26434673813.627266,1
132,[20. 20. 20. 23. 23. 23. 23.],29379778129.835197,1
133,[19. 19. 19. 24. 24. 24. 24.],23425601734.760265,1
134,[19. 19. 19. 24. 24. 24. 24.],21700915191.615574,1
135,[17. 17. 17. 17. 24. 24. 24.],12636598722.223299,1
136,[20. 20. 20. 22. 22. 22. 22.],30620970794.8743,1
137,[19. 19. 19. 19. 27. 27. 27.],22323465735.985428,1
138,[19. 19. 19. 22. 22. 22. 22.],24556757439.387367,1
139,[19. 19. 19. 22. 22. 22. 22.],21644538736.697857,1
140,[20. 20. 20. 20. 27. 27. 27.],27577122702.73417,1
141,[19. 19. 19. 19. 28. 28. 28.],22941777601.344837,1
142,[19. 19. 19. 19. 26. 26. 26.],21713197902.67891,1
143,[17. 17. 17. 27. 27. 27. 27.],12188852838.70916,1
144,[20. 20. 20. 23. 23. 23. 23.],29397773816.88694,1
145,[15. 15. 15. 15. 15. 30. 30.],9531938110.021296,1
146,[20. 20. 20. 23. 23. 23. 23.],26958236239.01166,1
147,[19. 19. 19. 19. 29. 29. 29.],23021233320.506332,1
148,[18. 18. 18. 18. 24. 24. 24.],18845384480.601376,1
